"Kontrat","GÖEM","GÝEM","GEEM","TOPLAM"
"GG20190101","2.122","393","24","2.539"
"GG20190102","3.048","0","53","3.101"
"GG20190103","5.784","0","332","6.116"
"GG20190104","2.645","1","40","2.686"
"GG20190105","695","0","94","789"
"GG20190106","714","10","106","830"
"GG20190107","1.373","51","197","1.621"
"GG20190108","1.965","1","188","2.154"
"GG20190109","1.731","0","51","1.782"
"GG20190110","6.578","0","20","6.598"
"GG20190111","1.013","0","48","1.061"
"GG20190112","793","0","18","811"
"GG20190113","5.629","80","42","5.751"
"GG20190114","866","6.016","47","6.929"
"GG20190115","1.652","180","121","1.953"
"GG20190116","1.883","80","16","1.979"
"GG20190117","2.949","0","58","3.007"
"GG20190118","4.225","20","119","4.364"
"GG20190119","3.435","0","72","3.507"
"GG20190120","738","0","47","785"
"GG20190121","585","3","236","824"
"GG20190122","2.158","0","110","2.268"
"GG20190123","682","1","80","763"
"GG20190124","1.247","40","42","1.329"
"GG20190125","1.146","0","17","1.163"
"GG20190126","1.695","0","32","1.727"
"GG20190127","764","0","146","910"
"GG20190128","819","16","52","887"
"GG20190129","695","71","10","776"
"GG20190130","1.617","0","39","1.656"
"GG20190131","853","0","43","896"
"GG20190201","940","0","32","972"
"GG20190202","2.072","0","12","2.084"
"GG20190203","1.872","100","88","2.060"
"GG20190204","1.262","0","0","1.262"
"GG20190205","3.332","100","79","3.511"
"GG20190206","2.539","0","133","2.672"
"GG20190207","2.092","21","129","2.242"
"GG20190208","3.058","0","9","3.067"
"GG20190209","1.276","0","306","1.582"
"GG20190210","3.538","0","141","3.679"
"GG20190211","608","325","18","951"
"GG20190212","1.769","580","99","2.448"
"GG20190213","2.896","656","142","3.694"
"GG20190214","13.904","38","23","13.965"
"GG20190215","10.257","810","193","11.260"
"GG20190216","11.084","50","70","11.204"
"GG20190217","7.202","156","145","7.503"
"GG20190218","3.550","87","161","3.798"
"GG20190219","2.131","255","47","2.433"
"GG20190220","2.720","165","138","3.023"
"GG20190221","6.651","280","226","7.157"
"GG20190222","1.955","234","71","2.260"
"GG20190223","4.930","50","262","5.242"
"GG20190224","2.015","355","101","2.471"
"GG20190225","4.214","15","115","4.344"
"GG20190226","1.486","60","451","1.997"
"GG20190227","5.205","25","228","5.458"
"GG20190228","3.790","1","152","3.943"
"GG20190301","6.961","0","232","7.193"
"GG20190302","1.643","0","43","1.686"
"GG20190303","2.000","261","382","2.643"
"GG20190304","1.090","14","277","1.381"
"GG20190305","1.101","110","152","1.363"
"GG20190306","1.746","130","77","1.953"
"GG20190307","1.228","0","143","1.371"
"GG20190308","2.531","167","82","2.780"
"GG20190309","1.426","108","173","1.707"
"GG20190310","1.104","261","211","1.576"
"GG20190311","1.350","81","84","1.515"
"GG20190312","4.521","275","225","5.021"
"GG20190313","981","205","24","1.210"
"GG20190314","1.861","76","136","2.073"
"GG20190315","5.375","50","65","5.490"
"GG20190316","1.332","75","249","1.656"
"GG20190317","2.013","15","22","2.050"
"GG20190318","2.225","90","104","2.419"
"GG20190319","3.624","0","141","3.765"
"GG20190320","2.146","0","320","2.466"
"GG20190321","2.221","125","365","2.711"
"GG20190322","4.444","360","165","4.969"
"GG20190323","3.693","0","143","3.836"
"GG20190324","1.882","401","122","2.405"
"GG20190325","1.415","333","73","1.821"
"GG20190326","1.432","100","27","1.559"
"GG20190327","853","0","113","966"
"GG20190328","1.352","195","92","1.639"
"GG20190329","5.291","830","164","6.285"
"GG20190330","7.370","50","95","7.515"
"GG20190331","1.577","480","190","2.247"
"GG20190401","3.191","1","176","3.368"
"GG20190402","990","60","29","1.079"
"GG20190403","1.642","20","124","1.786"
"GG20190404","3.021","470","187","3.678"
"GG20190405","1.887","150","48","2.085"
"GG20190406","1.974","100","78","2.152"
"GG20190407","4.401","400","44","4.845"
"GG20190408","2.834","531","125","3.490"
"GG20190409","3.513","245","193","3.951"
"GG20190410","2.503","270","137","2.910"
"GG20190411","3.291","205","279","3.775"
"GG20190412","3.864","248","127","4.239"
"GG20190413","1.689","131","57","1.877"
"GG20190414","733","305","85","1.123"
"GG20190415","2.021","69","46","2.136"
"GG20190416","5.688","0","173","5.861"
"GG20190417","14.112","180","214","14.506"
"GG20190418","2.965","248","315","3.528"
"GG20190419","1.040","193","106","1.339"
"GG20190420","1.199","300","74","1.573"
"GG20190421","1.252","0","177","1.429"
"GG20190422","2.331","488","128","2.947"
"GG20190423","2.271","100","114","2.485"
"GG20190424","512","158","270","940"
"GG20190425","692","55","246","993"
"GG20190426","4.925","50","141","5.116"
"GG20190427","1.793","50","170","2.013"
"GG20190428","1.932","50","46","2.028"
"GG20190429","760","29","181","970"
"GG20190430","2.423","250","179","2.852"
"GG20190501","1.346","284","103","1.733"
"GG20190502","2.000","322","72","2.394"
"GG20190503","2.050","204","172","2.426"
"GG20190504","2.614","150","284","3.048"
"GG20190505","579","0","158","737"
"GG20190506","308","374","137","819"
"GG20190507","1.024","351","86","1.461"
"GG20190508","515","65","34","614"
"GG20190509","979","200","174","1.353"
"GG20190510","7.751","250","86","8.087"
"GG20190511","661","443","1","1.105"
"GG20190512","1.317","22","166","1.505"
"GG20190513","1.394","57","147","1.598"
"GG20190514","5.653","0","16","5.669"
"GG20190515","1.754","0","78","1.832"
"GG20190516","1.344","0","132","1.476"
"GG20190517","2.231","79","102","2.412"
"GG20190518","1.482","50","36","1.568"
"GG20190519","924","25","143","1.092"
"GG20190520","405","75","43","523"
"GG20190521","408","0","43","451"
"GG20190522","673","50","104","827"
"GG20190523","1.263","0","86","1.349"
"GG20190524","802","20","0","822"
"GG20190525","1.696","142","100","1.938"
"GG20190526","439","50","50","539"
