Gaz Gunu,GRF
01-01-19,"1.586,87"
02-01-19,"1.586,04"
03-01-19,"1.598,85"
04-01-19,"1.614,49"
05-01-19,"1.580,19"
06-01-19,"1.582,54"
07-01-19,"1.577,98"
08-01-19,"1.573,82"
09-01-19,"1.569,04"
10-01-19,"1.600,37"
11-01-19,"1.591,16"
12-01-19,"1.567,44"
13-01-19,"1.587,38"
14-01-19,"1.611,79"
15-01-19,"1.573,97"
16-01-19,"1.575,04"
17-01-19,"1.557,78"
18-01-19,"1.567,71"
19-01-19,"1.561,13"
20-01-19,"1.532,87"
21-01-19,"1.518,44"
22-01-19,"1.539,32"
23-01-19,"1.518,13"
24-01-19,"1.511,49"
25-01-19,"1.490,04"
26-01-19,"1.498,82"
27-01-19,"1.482,33"
28-01-19,"1.482,21"
29-01-19,"1.470,30"
30-01-19,"1.474,86"
31-01-19,"1.472,69"
01-02-19,"1.471,74"
02-02-19,"1.459,82"
03-02-19,"1.463,48"
04-02-19,"1.442,33"
05-02-19,"1.462,39"
06-02-19,"1.449,84"
07-02-19,"1.450,83"
08-02-19,"1.461,91"
09-02-19,"1.462,73"
10-02-19,"1.461,57"
11-02-19,"1.448,68"
12-02-19,"1.445,54"
13-02-19,"1.441,93"
14-02-19,"1.460,33"
15-02-19,"1.467,64"
16-02-19,"1.465,69"
17-02-19,"1.467,52"
18-02-19,"1.450,53"
19-02-19,"1.453,39"
20-02-19,"1.458,37"
21-02-19,"1.467,28"
22-02-19,"1.467,88"
23-02-19,"1.473,72"
24-02-19,"1.453,53"
25-02-19,"1.463,01"
26-02-19,"1.458,99"
27-02-19,"1.464,84"
28-02-19,"1.464,65"
01-03-19,"1.484,07"
02-03-19,"1.484,06"
03-03-19,"1.476,74"
04-03-19,"1.474,11"
05-03-19,"1.500,38"
06-03-19,"1.504,51"
07-03-19,"1.490,04"
08-03-19,"1.517,49"
09-03-19,"1.487,73"
10-03-19,"1.487,94"
11-03-19,"1.481,09"
12-03-19,"1.483,42"
13-03-19,"1.500,77"
14-03-19,"1.509,86"
15-03-19,"1.521,24"
16-03-19,"1.493,62"
17-03-19,"1.486,40"
18-03-19,"1.481,36"
19-03-19,"1.482,76"
20-03-19,"1.497,40"
21-03-19,"1.495,39"
22-03-19,"1.497,46"
23-03-19,"1.536,17"
24-03-19,"1.515,73"
25-03-19,"1.539,29"
26-03-19,"1.535,47"
27-03-19,"1.516,15"
28-03-19,"1.480,62"
29-03-19,"1.514,02"
30-03-19,"1.518,37"
31-03-19,"1.480,85"
01-04-19,"1.502,26"
02-04-19,"1.504,71"
03-04-19,"1.484,35"
04-04-19,"1.504,20"
05-04-19,"1.488,72"
06-04-19,"1.462,73"
07-04-19,"1.429,39"
08-04-19,"1.474,09"
09-04-19,"1.497,88"
10-04-19,"1.434,56"
11-04-19,"1.460,78"
12-04-19,"1.465,82"
13-04-19,"1.480,26"
14-04-19,"1.442,44"
15-04-19,"1.472,14"
16-04-19,"1.472,30"
17-04-19,"1.496,64"
18-04-19,"1.484,52"
19-04-19,"1.451,61"
20-04-19,"1.486,78"
21-04-19,"1.469,91"
22-04-19,"1.480,95"
23-04-19,"1.463,84"
24-04-19,"1.447,24"
25-04-19,"1.451,09"
26-04-19,"1.461,48"
27-04-19,"1.473,25"
28-04-19,"1.490,10"
29-04-19,"1.479,46"
30-04-19,"1.495,24"
01-05-19,"1.488,91"
02-05-19,"1.480,13"
03-05-19,"1.481,20"
04-05-19,"1.502,17"
05-05-19,"1.477,68"
06-05-19,"1.493,26"
07-05-19,"1.491,22"
08-05-19,"1.502,13"
09-05-19,"1.513,67"
10-05-19,"1.536,90"
11-05-19,"1.523,63"
12-05-19,"1.491,71"
13-05-19,"1.488,25"
14-05-19,"1.500,58"
15-05-19,"1.516,86"
16-05-19,"1.517,55"
17-05-19,"1.512,24"
18-05-19,"1.515,44"
19-05-19,"1.526,60"
20-05-19,"1.525,76"
21-05-19,"1.524,24"
22-05-19,"1.526,91"
23-05-19,"1.534,30"
24-05-19,"1.537,34"
25-05-19,"1.525,06"
26-05-19,"1.537,07"
27-05-19,"1.527,99"
28-05-19,"1.525,58"
29-05-19,"1.527,62"
30-05-19,"1.522,47"
31-05-19,"1.509,13"
01-06-19,"1.530,62"
02-06-19,"1.532,09"
03-06-19,"1.529,16"
04-06-19,"1.511,62"
05-06-19,"1.538,60"
06-06-19,"1.526,75"
07-06-19,"1.522,27"
08-06-19,"1.510,07"
09-06-19,"1.525,37"
10-06-19,"1.500,19"
11-06-19,"1.514,48"
12-06-19,"1.511,94"
13-06-19,"1.511,43"
14-06-19,"1.510,20"
15-06-19,"1.503,48"
16-06-19,"1.489,55"
17-06-19,"1.480,30"
18-06-19,"1.477,98"
19-06-19,"1.474,17"
20-06-19,"1.510,38"
21-06-19,"1.504,36"
22-06-19,"1.508,95"
23-06-19,"1.504,98"
24-06-19,"1.491,00"
25-06-19,"1.475,96"
26-06-19,"1.481,68"
27-06-19,"1.475,86"
28-06-19,"1.504,24"
29-06-19,"1.495,91"
30-06-19,"1.516,16"
01-07-19,"1.582,27"
02-07-19,"1.608,45"
03-07-19,"1.605,84"
04-07-19,"1.591,10"
05-07-19,"1.585,94"
06-07-19,"1.566,70"
07-07-19,"1.575,31"
08-07-19,"1.574,12"
09-07-19,"1.552,89"
10-07-19,"1.570,03"
11-07-19,"1.559,92"
12-07-19,"1.532,36"
13-07-19,"1.505,79"
14-07-19,"1.496,24"
15-07-19,"1.503,35"
16-07-19,"1.470,84"
17-07-19,"1.467,97"
18-07-19,"1.488,62"
19-07-19,"1.487,86"
20-07-19,"1.472,12"
21-07-19,"1.456,80"
22-07-19,"1.441,67"
23-07-19,"1.444,86"
24-07-19,"1.456,92"
25-07-19,"1.449,78"
26-07-19,"1.449,72"
27-07-19,"1.441,18"
28-07-19,"1.427,52"
29-07-19,"1.431,12"
30-07-19,"1.431,59"
31-07-19,"1.431,60"
01-08-19,"1.438,44"
02-08-19,"1.452,47"
03-08-19,"1.454,08"
04-08-19,"1.456,52"
05-08-19,"1.455,10"
06-08-19,"1.456,03"
07-08-19,"1.453,11"
08-08-19,"1.452,90"
09-08-19,"1.428,69"
10-08-19,"1.426,21"
11-08-19,"1.443,77"
12-08-19,"1.675,01"
13-08-19,"1.424,28"
14-08-19,"1.441,20"
15-08-19,"1.433,51"
16-08-19,"1.448,30"
17-08-19,"1.450,35"
18-08-19,"1.449,23"
19-08-19,"1.455,34"
20-08-19,"1.443,24"
21-08-19,"1.478,30"
22-08-19,"1.491,32"
23-08-19,"1.493,49"
24-08-19,"1.495,34"
25-08-19,"1.496,37"
26-08-19,"1.500,57"
27-08-19,"1.507,47"
28-08-19,"1.507,82"
29-08-19,"1.504,00"
30-08-19,"1.504,65"
31-08-19,"1.497,57"
01-09-19,"1.487,13"
02-09-19,"1.487,75"
03-09-19,"1.485,58"
04-09-19,"1.488,55"
05-09-19,"1.472,90"
06-09-19,"1.474,70"
07-09-19,"1.474,45"
08-09-19,"1.466,28"
09-09-19,"1.473,89"
10-09-19,"1.466,09"
11-09-19,"1.478,77"
12-09-19,"1.481,45"
13-09-19,"1.473,78"
14-09-19,"1.472,49"
15-09-19,"1.460,48"
16-09-19,"1.459,92"
17-09-19,"1.478,45"
18-09-19,"1.500,43"
19-09-19,"1.500,57"
20-09-19,"1.502,19"
21-09-19,"1.498,25"
22-09-19,"1.493,21"
23-09-19,"1.510,83"
24-09-19,"1.503,48"
25-09-19,"1.507,76"
26-09-19,"1.502,57"
27-09-19,"1.495,48"
28-09-19,"1.481,94"
29-09-19,"1.465,22"
30-09-19,"1.473,71"
01-10-19,"1.470,82"
02-10-19,"1.472,71"
03-10-19,"1.476,30"
04-10-19,"1.477,91"
05-10-19,"1.464,29"
06-10-19,"1.466,23"
07-10-19,"1.460,04"
08-10-19,"1.466,32"
09-10-19,"1.471,84"
10-10-19,"1.474,61"
11-10-19,"1.477,97"
12-10-19,"1.471,14"
13-10-19,"1.470,90"
14-10-19,"1.467,68"
15-10-19,"1.469,49"
16-10-19,"1.470,77"
17-10-19,"1.469,09"
18-10-19,"1.467,86"
19-10-19,"1.459,24"
20-10-19,"1.454,72"
21-10-19,"1.455,52"
22-10-19,"1.454,85"
23-10-19,"1.447,67"
24-10-19,"1.440,65"
25-10-19,"1.438,41"
26-10-19,"1.437,31"
27-10-19,"1.438,21"
28-10-19,"1.437,86"
29-10-19,"1.432,95"
30-10-19,"1.420,28"
31-10-19,"1.421,32"
01-11-19,"1.425,67"
02-11-19,"1.418,10"
03-11-19,"1.414,46"
04-11-19,"1.413,76"
05-11-19,"1.409,58"
06-11-19,"1.399,18"
07-11-19,"1.407,48"
08-11-19,"1.427,14"
09-11-19,"1.427,09"
10-11-19,"1.422,80"
11-11-19,"1.421,68"
12-11-19,"1.423,60"
13-11-19,"1.416,83"
14-11-19,"1.405,48"
15-11-19,"1.415,10"
16-11-19,"1.412,41"
17-11-19,"1.409,82"
18-11-19,"1.411,46"
19-11-19,"1.411,24"
20-11-19,"1.408,98"
21-11-19,"1.406,77"
22-11-19,"1.405,23"
23-11-19,"1.399,97"
24-11-19,"1.401,50"
25-11-19,"1.401,41"
26-11-19,"1.400,35"
27-11-19,"1.403,42"
28-11-19,"1.404,85"
29-11-19,"1.407,01"
30-11-19,"1.402,10"
01-12-19,"1.410,81"
02-12-19,"1.412,56"
03-12-19,"1.419,49"
04-12-19,"1.418,79"
05-12-19,"1.416,93"
06-12-19,"1.418,63"
07-12-19,"1.417,12"
08-12-19,"1.423,10"
09-12-19,"1.424,41"
10-12-19,"1.421,17"
11-12-19,"1.424,58"
12-12-19,"1.421,05"
13-12-19,"1.421,58"
14-12-19,"1.422,94"
15-12-19,"1.420,37"
16-12-19,"1.424,80"
17-12-19,"1.425,97"
18-12-19,"1.425,40"
19-12-19,"1.424,18"
20-12-19,"1.422,53"
21-12-19,"1.424,04"
22-12-19,"1.427,97"
23-12-19,"1.425,88"
24-12-19,"1.426,50"
25-12-19,"1.427,57"
26-12-19,"1.425,76"
27-12-19,"1.425,61"
28-12-19,"1.428,15"
29-12-19,"1.437,74"
30-12-19,"1.444,48"
31-12-19,"1.452,69"
01-01-20,"1.490,59"
02-01-20,"1.502,35"
03-01-20,"1.490,63"
04-01-20,"1.495,39"
05-01-20,"1.489,02"
06-01-20,"1.489,05"
07-01-20,"1.486,71"
08-01-20,"1.480,11"
09-01-20,"1.482,84"
10-01-20,"1.467,62"
11-01-20,"1.460,26"
12-01-20,"1.456,27"
13-01-20,"1.451,99"
14-01-20,"1.452,13"
15-01-20,"1.466,59"
16-01-20,"1.457,84"
17-01-20,"1.458,89"
18-01-20,"1.459,27"
19-01-20,"1.457,42"
20-01-20,"1.463,40"
21-01-20,"1.465,01"
22-01-20,"1.478,19"
23-01-20,"1.482,82"
24-01-20,"1.489,05"
25-01-20,"1.482,31"
26-01-20,"1.475,80"
27-01-20,"1.472,79"
28-01-20,"1.477,11"
29-01-20,"1.481,29"
30-01-20,"1.482,63"
31-01-20,"1.484,45"
01-02-20,"1.480,68"
02-02-20,"1.473,74"
03-02-20,"1.474,34"
04-02-20,"1.475,81"
05-02-20,"1.474,40"
06-02-20,"1.470,96"
07-02-20,"1.470,63"
08-02-20,"1.467,93"
09-02-20,"1.458,46"
10-02-20,"1.455,92"
11-02-20,"1.452,36"
12-02-20,"1.452,31"
13-02-20,"1.467,52"
14-02-20,"1.478,86"
15-02-20,"1.480,26"
16-02-20,"1.474,48"
17-02-20,"1.472,71"
18-02-20,"1.476,66"
19-02-20,"1.475,49"
20-02-20,"1.470,70"
21-02-20,"1.464,67"
22-02-20,"1.462,00"
23-02-20,"1.461,38"
24-02-20,"1.459,76"
25-02-20,"1.466,66"
26-02-20,"1.458,05"
27-02-20,"1.452,71"
28-02-20,"1.448,36"
29-02-20,"1.455,88"
01-03-20,"1.457,79"
02-03-20,"1.455,36"
03-03-20,"1.449,45"
04-03-20,"1.438,60"
05-03-20,"1.429,40"
06-03-20,"1.423,97"
07-03-20,"1.418,92"
08-03-20,"1.398,52"
09-03-20,"1.407,84"
10-03-20,"1.402,15"
11-03-20,"1.407,84"
12-03-20,"1.422,08"
13-03-20,"1.407,75"
14-03-20,"1.411,16"
15-03-20,"1.423,79"
16-03-20,"1.426,08"
17-03-20,"1.432,88"
18-03-20,"1.446,82"
19-03-20,"1.454,47"
20-03-20,"1.460,91"
21-03-20,"1.461,40"
22-03-20,"1.460,27"
23-03-20,"1.468,78"
24-03-20,"1.483,03"
